Season,elo_diff_cuted,diff_with_avg_a_m_cuted,diff_with_avg_h_m_cuted,diff_with_avg_a_d_cuted,diff_with_avg_h_d_cuted,diff_with_avg_a_f_cuted,diff_with_avg_h_f_cuted,diff_with_avg_a_g_cuted,diff_with_avg_h_g_cuted,FTR,FTAG,AS,AST,bkm_prediction,B365H,B365A,Elo_Home,Elo_Away,elo_diff,sum_win_last_5_Home,sum_win_last_3_Home,sum_lose_last_3_Home,tackles_h_f,dispossesed_h_m,pen_miss_h_m,pen_won_a_d,passes_a_d,passes_acc_a_d,keyPasses_a_d,score_pos_a_d,diff_with_avg_a_d,passes_acc_a_g,shots_on_goal_a_f,total_crosses_a_f,acc_crosses_a_f,passes_a_f,passes_acc_a_f,score_pos_a_f,score_pos_avg_grouped_date_h_or_a_and_pos_a_f,diff_with_avg_a_f,total_crosses_a_m,big_chance_created_a_m,passes_a_m,passes_acc_a_m,score_pos_a_m,diff_with_avg_a_m,HomeTeam_Ajaccio,HomeTeam_Ajaccio GFCO,HomeTeam_Amiens,HomeTeam_Angers,HomeTeam_Bastia,HomeTeam_Bordeaux,HomeTeam_Brest,HomeTeam_Caen,HomeTeam_Clermont,HomeTeam_Dijon,HomeTeam_Guingamp,HomeTeam_Le Havre,HomeTeam_Lens,HomeTeam_Lille,HomeTeam_Lorient,HomeTeam_Lyon,HomeTeam_Marseille,HomeTeam_Metz,HomeTeam_Monaco,HomeTeam_Montpellier,HomeTeam_Nancy,HomeTeam_Nantes,HomeTeam_Nice,HomeTeam_Nimes,HomeTeam_Paris SG,HomeTeam_Reims,HomeTeam_Rennes,HomeTeam_St Etienne,HomeTeam_Strasbourg,HomeTeam_Toulouse,HomeTeam_Troyes,AwayTeam_Ajaccio,AwayTeam_Ajaccio GFCO,AwayTeam_Amiens,AwayTeam_Angers,AwayTeam_Bastia,AwayTeam_Bordeaux,AwayTeam_Brest,AwayTeam_Caen,AwayTeam_Clermont,AwayTeam_Dijon,AwayTeam_Guingamp,AwayTeam_Le Havre,AwayTeam_Lens,AwayTeam_Lille,AwayTeam_Lorient,AwayTeam_Lyon,AwayTeam_Marseille,AwayTeam_Metz,AwayTeam_Monaco,AwayTeam_Montpellier,AwayTeam_Nancy,AwayTeam_Nantes,AwayTeam_Nice,AwayTeam_Nimes,AwayTeam_Paris SG,AwayTeam_Reims,AwayTeam_Rennes,AwayTeam_St Etienne,AwayTeam_Strasbourg,AwayTeam_Toulouse,AwayTeam_Troyes
0,8,2,4,3,0,2,6,10,7,1,0.6666666666666666,10.333333333333334,2.6666666666666665,1,2.2,3.4,1566.80725098,1600.34179688,-33.53454590000001,2.0,1.0,1.0,2.0,4.0,0.0,0.0,71.0,45.0,2.0,13.3,-4.707142857142861,7.0,3.0,3.0,0.0,35.0,17.0,1.6,2.36,-0.7599999999999998,7.0,0.0,99.0,64.0,16.0,-12.492857142857144,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,3,3,5,9,7,1,5,6,8,1,1.0,11.333333333333334,4.333333333333333,1,2.2,3.6,1557.92248535,1562.08276367,-4.160278320000089,1.0,1.0,1.0,2.0,9.0,0.0,0.0,198.0,163.0,1.0,24.6,4.62777777777778,18.0,0.0,0.0,0.0,26.0,17.0,0.8800000000000001,2.3244444444444445,-1.4444444444444444,5.0,0.0,180.0,139.0,32.9,-7.483333333333341,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0,4,9,6,8,4,5,3,2,4,0,1.6666666666666667,13.666666666666666,5.666666666666667,2,3.1,2.5,1545.92163086,1768.91137695,-222.98974608999995,2.0,1.0,2.0,2.0,7.0,0.0,0.0,177.0,146.0,2.0,20.450000000000003,2.442857142857143,7.0,3.0,5.0,2.0,51.0,47.0,2.8400000000000003,2.36,0.4800000000000004,22.0,0.0,220.0,187.0,42.5,14.007142857142856,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0,1,3,7,5,11,6,5,3,2,2,0.6666666666666666,11.666666666666666,3.6666666666666665,1,2.63,3.0,1582.24584961,1702.59216309,-120.34631347999994,1.0,0.0,1.0,1.0,3.0,0.0,0.0,159.0,140.0,4.0,18.2,-1.772222222222222,14.0,1.0,9.0,3.0,89.0,71.0,3.6,2.3244444444444445,1.2755555555555556,6.0,0.0,183.0,152.0,32.550000000000004,-7.833333333333336,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,14,5,8,4,10,1,2,0,7,1,1.0,8.666666666666666,3.333333333333333,1,1.62,6.0,1684.42358398,1563.9876709,120.43591308000008,3.0,1.0,2.0,0.0,12.0,0.0,0.0,157.0,136.0,1.0,18.200000000000003,-3.1899999999999977,10.0,0.0,1.0,0.0,23.0,21.0,0.96,2.172,-1.2120000000000002,8.0,0.0,217.0,186.0,40.7,-0.2800000000000011,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,3,3,7,0,3,4,3,11,4,0,0.6666666666666666,8.0,3.333333333333333,1,2.1,3.8,1651.53552246,1647.85046387,3.685058589999926,1.0,1.0,1.0,4.0,5.0,0.0,0.0,74.0,56.0,2.0,10.85,-10.54,19.0,1.0,7.0,2.0,47.0,35.0,2.24,2.172,0.068,14.0,0.0,159.0,132.0,31.05,-9.930000000000003,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,2,6,0,9,1,0,4,10,4,1,1.3333333333333333,14.333333333333334,4.666666666666667,2,4.0,2.0,1552.78649902,1694.32275391,-141.53625489,1.0,0.0,3.0,2.0,5.0,0.0,0.0,241.0,202.0,1.0,27.100000000000005,4.900000000000006,30.0,0.0,0.0,0.0,11.0,8.0,0.4,2.085714285714286,-1.685714285714286,26.0,0.0,170.0,137.0,32.300000000000004,1.7785714285714285,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,8,8,6,6,6,2,2,4,2,0,2.0,20.666666666666668,6.333333333333333,1,2.5,3.0,1555.42248535,1594.75317383,-39.330688479999935,1.0,0.0,1.0,0.5,4.0,0.0,0.0,165.0,123.0,0.0,20.2,0.2277777777777778,16.0,0.0,1.0,0.0,32.0,28.0,1.2800000000000002,2.3244444444444445,-1.0444444444444445,17.0,0.0,269.0,217.0,49.25,8.86666666666666,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
0,3,4,0,3,2,2,7,12,7,1,1.3333333333333333,10.0,3.0,1,2.25,3.5,1556.11535645,1576.16943359,-20.05407713999989,3.0,2.0,1.0,4.0,2.0,0.0,0.0,114.0,93.0,1.0,15.35,-4.62222222222222,12.0,2.0,2.0,0.0,33.0,28.0,1.6800000000000002,2.3244444444444445,-0.6444444444444444,5.0,0.0,190.0,160.0,36.6,-3.7833333333333456,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,9,4,6,6,4,5,7,11,6,1,0.6666666666666666,6.333333333333333,2.333333333333333,1,1.4,10.0,1650.24291992,1478.41687012,171.82604979999996,1.0,0.0,1.0,5.0,4.5,0.0,0.0,147.0,125.0,3.0,18.7,0.6928571428571395,19.0,0.0,4.0,0.0,77.0,62.0,2.92,2.36,0.56,5.0,0.0,137.0,119.0,25.65,-2.842857142857145,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,2,6,3,7,7,2,4,5,10,2,0.0,10.0,4.333333333333333,2,3.3,2.25,1593.88659668,1732.29760742,-138.41101074000017,3.0,2.0,1.0,4.0,5.0,0.0,0.0,183.0,149.0,0.0,21.45,1.477777777777778,15.0,2.0,1.0,0.0,40.0,23.0,1.64,2.3244444444444445,-0.6844444444444444,8.0,0.0,244.0,204.0,44.00000000000001,3.616666666666667,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
